transaction_id,customer_id,order_amount,product_category,payment_method,discount_percent,delivery_distance_km,customer_age,customer_account_age_days,previous_orders,previous_returns,return_rate,returns_last_30_days,refunds_last_90_days,chargebacks_last_90_days,days_to_return,delivery_to_return_days,coupon_usage_count,high_value_order,customer_risk_history,return_reason,location_risk_score,device_change_count,orders_last_30_days,previous_fraud_flag,target_return_abuse
TX100071,CUST000569,476.19,Fashion,Debit Card,32.5,1.3,39,431,7,1,0.143,0,0,0,,,1,0,low,no_return,30.8,1,1,0,0
TX100072,CUST001389,3476.29,Grocery,Credit Card,0.0,26.5,36,64,15,3,0.2,0,1,0,10.5,9.4,2,1,high,changed_mind,49.3,0,1,0,1
TX100073,CUST000390,802.15,Sports,UPI,21.9,0.8,49,153,8,0,0.0,0,0,0,,,3,0,medium,no_return,10.0,0,4,0,0
TX100074,CUST002059,1266.02,Footwear,UPI,0.0,11.1,27,88,9,0,0.0,0,0,0,,,2,0,low,no_return,50.0,0,1,0,0
TX100075,CUST001427,2912.94,Fashion,Credit Card,24.9,2.1,36,339,9,0,0.0,0,0,0,,,0,0,low,no_return,39.3,1,1,0,0
TX100076,CUST000991,944.53,Fashion,Wallet,1.8,3.9,36,771,8,2,0.25,1,0,0,,,1,0,low,no_return,8.0,0,1,0,0
TX100077,CUST000681,3326.17,Home,Credit Card,21.8,2.6,29,166,7,1,0.143,0,0,0,11.9,10.5,2,0,low,size_issue,27.0,0,1,0,0
TX100078,CUST001693,1137.73,Electronics,Credit Card,24.1,18.2,43,730,6,2,0.333,0,0,0,0.9,0.1,1,0,low,not_needed,37.7,2,1,1,1
TX100079,CUST002009,1038.49,Mobile,Wallet,28.4,3.7,34,304,8,0,0.0,0,0,0,,,0,0,low,no_return,30.4,0,3,0,0
TX100080,CUST002820,785.95,Books,COD,25.7,1.0,19,433,8,0,0.0,0,0,0,,,3,0,low,no_return,20.2,0,3,0,0
TX100081,CUST001312,1145.15,Toys,COD,15.7,3.3,39,207,5,0,0.0,0,0,0,,,2,0,medium,no_return,8.2,2,1,0,0
TX100082,CUST000482,2667.05,Books,Credit Card,10.4,7.2,27,25,10,0,0.0,0,0,0,2.5,0.0,1,0,low,changed_mind_repeated,26.7,1,2,1,0
TX100083,CUST002498,1266.18,Fashion,Net Banking,14.1,10.6,28,105,8,1,0.125,0,0,0,13.2,13.1,3,0,medium,size_issue,4.4,0,0,0,0
TX100084,CUST001889,3485.24,Electronics,Debit Card,1.6,3.7,29,68,10,1,0.1,0,2,0,7.0,6.4,0,1,low,changed_mind_repeated,14.4,0,3,0,0
TX100085,CUST002101,1885.51,Home,Debit Card,12.5,3.7,39,352,14,2,0.143,0,0,0,,,1,0,low,no_return,12.0,3,1,0,0
TX100086,CUST000292,1997.33,Toys,COD,11.5,11.5,42,313,5,2,0.4,1,2,0,2.1,0.0,2,0,low,not_as_described_repeated,45.7,1,1,0,0
TX100087,CUST000937,1015.51,Fashion,Credit Card,5.5,33.3,30,610,10,0,0.0,0,0,1,,,3,0,low,no_return,4.8,1,2,0,0
TX100088,CUST002303,3811.63,Electronics,Wallet,0.0,2.3,29,161,10,0,0.0,0,2,0,7.5,7.1,0,1,low,defective,46.6,0,3,0,0
TX100089,CUST002496,2982.39,Grocery,Wallet,0.0,29.0,18,512,12,1,0.083,1,0,0,,,0,0,low,no_return,14.3,0,1,0,0
TX100090,CUST001306,2929.23,Fashion,Debit Card,0.0,9.5,24,176,9,1,0.111,0,0,0,8.8,3.3,1,0,high,defective,3.5,1,3,0,0
TX100091,CUST002414,1648.54,Sports,UPI,11.3,16.2,22,147,8,0,0.0,0,0,0,,,2,0,low,no_return,19.1,0,3,0,0
TX100092,CUST002525,714.8,Electronics,COD,19.3,12.3,35,590,3,1,0.333,1,2,0,9.4,6.1,2,0,low,not_needed,29.1,0,0,0,0
TX100093,CUST001163,2068.59,Beauty,Credit Card,0.0,2.9,30,182,5,1,0.2,1,1,0,1.3,1.3,2,0,low,not_as_described_repeated,54.7,0,2,0,0
TX100094,CUST002694,2594.96,Home,Debit Card,17.8,22.4,22,296,6,0,0.0,0,1,0,1.9,1.4,0,0,low,defective,24.8,1,2,0,0
TX100095,CUST000865,2611.59,Footwear,UPI,13.5,4.1,33,80,9,1,0.111,0,1,0,3.9,3.8,1,0,low,changed_mind,42.4,1,2,0,0
TX100096,CUST000719,2390.57,Books,COD,0.9,11.8,31,536,8,0,0.0,0,0,0,3.6,0.7,3,0,low,changed_mind_repeated,10.2,1,1,0,0
TX100097,CUST002047,2326.84,Electronics,Wallet,9.8,3.4,18,373,8,1,0.125,0,0,0,,,3,0,low,no_return,14.6,1,1,0,0
TX100098,CUST001910,1133.75,Toys,UPI,27.6,12.2,43,1209,8,0,0.0,0,0,0,,,1,0,low,no_return,12.1,0,2,0,0
TX100099,CUST000420,1173.94,Toys,COD,3.3,4.3,42,486,8,4,0.5,0,2,1,,,0,0,medium,no_return,6.5,0,1,0,0
TX100100,CUST002498,791.66,Grocery,Net Banking,15.9,13.3,29,48,3,0,0.0,0,0,0,,,4,0,low,no_return,46.5,2,2,0,1
TX100101,CUST000600,3510.64,Footwear,UPI,19.2,0.5,35,641,9,0,0.0,0,2,0,7.7,7.2,1,1,low,not_needed,40.9,0,2,0,0
TX100102,CUST002414,5609.1,Toys,UPI,5.1,2.9,28,565,11,0,0.0,0,0,0,,,5,1,low,no_return,4.2,0,4,1,0
TX100103,CUST000023,8995.31,Fashion,Credit Card,27.1,13.4,18,407,4,0,0.0,0,1,0,,,1,1,low,no_return,17.9,1,2,0,0
TX100104,CUST002390,2163.74,Home,COD,19.8,11.8,53,278,8,1,0.125,0,0,0,13.5,13.5,3,0,medium,defective,10.8,3,2,0,0
TX100105,CUST002360,2330.67,Home,Credit Card,12.0,4.2,39,163,6,0,0.0,0,0,0,3.1,1.5,0,0,low,size_issue,49.2,1,6,0,0
TX100106,CUST002341,1693.78,Beauty,UPI,43.4,2.0,41,177,3,0,0.0,0,1,0,,,2,0,low,no_return,55.7,1,1,0,0
TX100107,CUST001994,2141.56,Mobile,UPI,27.2,0.5,29,14,3,1,0.333,0,1,0,,,1,0,low,no_return,27.1,1,2,0,0
TX100108,CUST001415,941.82,Grocery,Credit Card,0.0,3.2,43,573,3,1,0.333,0,1,0,,,1,0,low,no_return,6.7,0,1,0,1
TX100109,CUST002115,1670.53,Fashion,UPI,10.3,13.1,18,330,9,0,0.0,0,0,0,,,1,0,low,no_return,15.1,0,4,1,0
TX100110,CUST000832,1044.67,Mobile,Debit Card,44.6,24.1,29,282,4,0,0.0,0,0,0,14.3,12.4,0,0,low,changed_mind,50.7,2,2,0,0
TX100111,CUST002342,1526.4,Grocery,UPI,3.2,26.4,39,227,10,1,0.1,1,1,0,,,2,0,low,no_return,23.5,0,3,0,0
TX100112,CUST001667,1109.39,Fashion,COD,15.8,12.4,25,324,14,3,0.214,0,0,0,,,1,0,low,no_return,29.4,2,1,0,0
TX100113,CUST001377,2595.84,Footwear,COD,29.8,5.5,41,173,5,1,0.2,0,0,0,,,3,0,low,no_return,35.7,0,2,0,0
TX100114,CUST001517,2806.89,Home,Net Banking,22.8,11.0,35,837,9,0,0.0,0,1,0,,,1,0,low,no_return,25.7,1,1,0,0
TX100115,CUST001706,2284.35,Beauty,UPI,24.6,29.4,34,1057,10,2,0.2,0,1,0,,,2,0,low,no_return,21.4,1,1,0,0
TX100116,CUST000112,1177.45,Beauty,Debit Card,23.9,2.3,24,39,6,0,0.0,0,0,0,,,1,0,medium,no_return,20.4,0,0,0,0
TX100117,CUST000420,751.45,Footwear,COD,15.3,13.8,36,1145,6,1,0.167,0,1,0,2.9,2.9,3,0,low,changed_mind,36.3,0,3,0,1
TX100118,CUST000737,2826.96,Fashion,Credit Card,5.5,8.6,51,476,7,0,0.0,0,0,1,,,0,0,medium,no_return,1.5,0,0,0,0
TX100119,CUST000344,1878.81,Fashion,UPI,20.2,1.2,33,727,9,0,0.0,0,0,0,,,1,0,low,no_return,12.3,0,0,0,0
TX100120,CUST001319,461.6,Grocery,UPI,10.2,8.8,37,1161,3,0,0.0,0,0,0,3.1,0.0,4,0,low,not_needed,49.8,0,1,0,0
TX100121,CUST002005,2057.34,Footwear,Debit Card,9.2,11.4,39,61,9,0,0.0,0,0,0,,,3,0,low,no_return,37.7,0,1,0,0
TX100122,CUST001963,2341.95,Electronics,Credit Card,32.8,13.2,20,853,8,0,0.0,0,0,0,,,1,0,low,no_return,38.8,0,1,0,0
TX100123,CUST001413,579.18,Fashion,Net Banking,10.4,1.8,30,234,7,1,0.143,0,0,0,,,2,0,low,no_return,36.4,1,5,0,0
TX100124,CUST002565,2624.78,Mobile,COD,35.5,10.0,30,260,10,0,0.0,0,1,0,,,1,0,medium,no_return,15.1,0,1,0,0
TX100125,CUST001696,646.86,Toys,COD,18.1,2.3,18,47,12,1,0.083,1,0,0,7.6,6.5,3,0,high,not_as_described,7.9,1,3,0,0
TX100126,CUST000238,1088.38,Home,Wallet,13.1,9.1,39,417,9,0,0.0,0,1,0,3.5,2.0,2,0,medium,size_issue,41.1,0,0,0,0
TX100127,CUST002295,650.08,Home,Debit Card,0.0,7.2,22,571,11,0,0.0,0,0,0,,,0,0,high,no_return,13.3,3,1,0,0
TX100128,CUST001724,1008.52,Beauty,UPI,40.4,5.1,38,1071,7,0,0.0,0,0,0,,,1,0,low,no_return,18.7,3,2,0,0
TX100129,CUST001904,756.3,Grocery,UPI,14.9,8.5,24,65,12,0,0.0,0,0,0,,,1,0,low,no_return,34.3,0,3,0,0
TX100130,CUST001696,3496.73,Sports,COD,0.0,1.3,52,60,9,0,0.0,0,0,0,,,1,1,low,no_return,38.7,1,1,0,0
TX100131,CUST001661,1588.72,Toys,Credit Card,26.9,25.4,29,135,10,1,0.1,1,0,0,2.1,1.4,3,0,low,not_as_described,14.2,0,0,0,0
TX100132,CUST000272,1366.38,Electronics,Net Banking,14.4,0.5,51,30,7,0,0.0,0,0,0,,,4,0,low,no_return,34.3,0,1,0,0
TX100133,CUST001678,3705.22,Toys,UPI,3.8,2.9,30,1485,7,3,0.429,0,0,0,,,2,1,low,no_return,8.2,0,0,0,0
TX100134,CUST002384,3586.97,Electronics,UPI,26.2,14.9,31,102,8,1,0.125,0,0,0,1.7,0.0,1,1,low,not_as_described,34.4,0,0,0,0
TX100135,CUST000912,1442.71,Footwear,COD,0.0,14.2,47,320,5,0,0.0,0,0,0,,,3,0,low,no_return,19.6,1,1,0,0
TX100136,CUST001808,2255.64,Electronics,COD,6.4,9.9,22,146,4,0,0.0,0,0,0,,,1,0,high,no_return,41.0,1,1,0,0
TX100137,CUST000093,1241.92,Electronics,Net Banking,11.4,3.8,32,511,13,0,0.0,0,0,0,,,1,0,medium,no_return,34.3,1,2,0,0
TX100138,CUST001043,1755.49,Fashion,UPI,25.2,14.9,37,82,10,2,0.2,1,1,0,,,1,0,low,no_return,11.4,2,0,0,0
TX100139,CUST001310,858.42,Fashion,Credit Card,41.9,10.4,36,477,3,2,0.667,0,0,0,,,2,0,low,no_return,24.1,1,1,0,0
TX100140,CUST002948,2471.13,Home,Debit Card,12.1,13.0,32,1942,11,0,0.0,0,0,0,,,2,0,medium,no_return,3.4,1,2,1,0
TX100141,CUST000644,3796.73,Grocery,Net Banking,20.5,36.4,31,1525,9,3,0.333,0,1,0,,,1,1,medium,no_return,25.0,0,0,0,0
TX100142,CUST000830,3387.52,Footwear,UPI,48.0,9.8,40,280,6,0,0.0,0,0,0,6.4,4.7,1,0,low,changed_mind,17.1,0,1,0,0
TX100143,CUST001226,1937.18,Beauty,Debit Card,15.1,2.9,33,161,6,0,0.0,0,0,0,,,0,0,low,no_return,59.9,2,5,0,0
TX100144,CUST002978,429.63,Beauty,UPI,20.6,16.9,41,53,4,1,0.25,1,0,0,,,2,0,low,no_return,18.6,2,3,0,0
TX100145,CUST002560,1202.15,Fashion,COD,0.2,7.6,35,449,9,0,0.0,0,0,0,,,0,0,medium,no_return,13.8,0,2,0,0
TX100146,CUST000105,1754.02,Toys,UPI,38.5,8.9,38,333,3,0,0.0,0,0,0,,,0,0,low,no_return,22.9,0,3,0,0
TX100147,CUST000702,686.02,Electronics,Wallet,6.4,2.1,43,730,8,0,0.0,0,0,0,,,0,0,low,no_return,25.5,1,2,0,0
TX100148,CUST002465,601.99,Fashion,UPI,18.2,29.5,28,78,9,0,0.0,0,0,0,,,0,0,low,no_return,29.6,1,1,0,0
TX100149,CUST000175,4454.48,Electronics,Debit Card,17.9,1.2,43,504,4,1,0.25,0,0,0,2.1,1.2,0,1,low,changed_mind,40.2,0,1,0,1
TX100150,CUST002567,3142.49,Fashion,COD,16.0,2.1,30,36,10,0,0.0,0,0,0,,,0,0,low,no_return,8.2,0,2,0,0
TX100151,CUST000844,2594.46,Sports,UPI,9.8,1.2,18,75,7,0,0.0,0,0,0,,,1,0,low,no_return,33.1,1,0,0,0
TX100152,CUST002753,2916.29,Electronics,UPI,17.9,16.5,28,58,8,0,0.0,0,0,0,,,3,0,high,no_return,8.2,1,2,0,0
TX100153,CUST000881,774.55,Electronics,Debit Card,36.1,36.8,24,178,7,1,0.143,0,3,0,4.2,2.3,2,0,medium,changed_mind_repeated,11.4,1,4,0,0
TX100154,CUST001303,984.5,Toys,Debit Card,42.4,35.8,35,572,10,1,0.1,0,0,0,11.9,11.0,1,0,low,defective,16.3,1,1,0,0
TX100155,CUST001986,2167.98,Electronics,COD,12.9,7.3,29,357,1,0,0.0,0,0,0,11.5,11.5,7,0,low,not_needed,22.1,0,6,0,0
TX100156,CUST000379,2279.33,Sports,Debit Card,9.6,1.3,33,314,4,0,0.0,0,1,0,,,0,0,low,no_return,48.1,1,3,0,0
TX100157,CUST001671,656.79,Home,UPI,5.3,2.4,42,353,5,0,0.0,0,0,0,,,2,0,low,no_return,7.8,0,4,0,0
TX100158,CUST001515,2069.03,Footwear,Net Banking,47.2,7.4,46,944,6,1,0.167,1,1,0,,,2,0,low,no_return,11.5,1,3,0,1
TX100159,CUST002351,1775.59,Grocery,UPI,16.5,7.2,34,638,5,0,0.0,0,0,0,1.2,0.0,2,0,low,changed_mind_repeated,29.0,0,4,0,0
TX100160,CUST002988,3320.01,Electronics,Debit Card,28.4,3.0,42,267,5,0,0.0,0,1,0,1.8,1.8,2,0,high,changed_mind,17.6,1,1,0,0
TX100161,CUST001993,2286.6,Footwear,Net Banking,23.4,5.9,30,1108,16,0,0.0,0,0,0,,,2,0,low,no_return,41.0,0,0,0,0
TX100162,CUST001228,4771.47,Home,Net Banking,41.5,5.5,18,119,6,1,0.167,1,0,0,,,4,1,low,no_return,21.2,2,1,0,1
TX100163,CUST001219,1448.31,Fashion,UPI,12.0,7.1,20,914,8,0,0.0,0,1,0,,,1,0,low,no_return,22.8,1,0,0,0
TX100164,CUST001254,813.09,Grocery,UPI,1.7,0.8,30,316,10,2,0.2,0,1,1,,,1,0,low,no_return,32.9,0,2,0,0
TX100165,CUST002442,4693.72,Books,Debit Card,37.3,14.0,39,104,7,2,0.286,0,0,0,4.1,2.9,1,1,medium,not_needed,10.0,0,1,0,0
TX100166,CUST000964,2364.23,Fashion,Credit Card,25.8,34.0,30,92,1,0,0.0,0,0,0,,,2,0,low,no_return,26.5,0,2,0,0
TX100167,CUST000501,1782.58,Home,COD,20.5,9.5,43,126,5,0,0.0,0,0,0,,,2,0,medium,no_return,31.8,0,1,0,0
TX100168,CUST001003,1011.15,Electronics,Debit Card,33.4,12.2,50,1256,4,1,0.25,0,0,0,3.0,2.5,1,0,low,size_issue,7.4,0,0,0,0
TX100169,CUST000069,1459.92,Sports,UPI,21.2,0.6,23,241,8,1,0.125,1,0,0,7.8,6.2,0,0,low,not_as_described_repeated,11.3,0,2,0,0
TX100170,CUST000319,1407.56,Mobile,Credit Card,33.8,16.2,53,298,11,3,0.273,0,0,0,5.4,2.4,0,0,medium,not_as_described,30.3,0,2,0,0
TX100171,CUST000271,787.1,Home,Debit Card,18.0,3.2,18,405,6,0,0.0,0,0,1,,,0,0,low,no_return,5.1,2,1,0,0
TX100172,CUST002314,341.93,Mobile,COD,25.8,4.0,50,77,9,1,0.111,0,0,0,,,0,0,low,no_return,15.6,1,3,0,0
TX100173,CUST002167,1384.87,Fashion,Credit Card,21.3,24.5,31,273,11,1,0.091,0,0,0,,,0,0,low,no_return,16.6,0,3,0,0
